Matrix_Size,Driver,Runtime_sec,Avg_Residual,Orthogonality_Loss,Algorithm
50,ev,0.0013871999999537366,6.004580344321013e-16,1.3264144167998987e-14,Shifted QR (ev)
50,evd,0.010699299999942014,4.75801809244107e-16,9.85833238181826e-15,Divide & Conquer (evd)
50,evr,0.00032710000004954054,1.0727258831709533e-15,1.9062218820387358e-13,MRRR (evr)
100,ev,0.0018875000000662112,8.612875319972723e-16,2.5713272579957407e-14,Shifted QR (ev)
100,evd,0.0026340999997955805,4.660776760063049e-16,1.4275207890682955e-14,Divide & Conquer (evd)
100,evr,0.0009533000002193148,9.775201449745053e-16,1.5117232897903655e-13,MRRR (evr)
250,ev,0.02339979999987918,1.3002459343223398e-15,5.969601336089837e-14,Shifted QR (ev)
250,evd,0.014591399999972055,4.485533196448777e-16,2.850930552736614e-14,Divide & Conquer (evd)
250,evr,0.009258500000214553,1.4167845459657135e-15,1.448891148193604e-12,MRRR (evr)
500,ev,0.15746549999994386,1.822023288263623e-15,1.1263835352251134e-13,Shifted QR (ev)
500,evd,0.03121370000008028,4.94728527840902e-16,4.8364782167672056e-14,Divide & Conquer (evd)
500,evr,0.03393529999993916,1.4200928326435633e-15,2.419794764727821e-12,MRRR (evr)
1000,ev,1.9450707999999395,2.5894965445966805e-15,2.265982618714013e-13,Shifted QR (ev)
1000,evd,0.16238290000001143,5.335039280306083e-16,8.312739307997641e-14,Divide & Conquer (evd)
1000,evr,0.19513269999970362,1.1952462197446855e-15,2.287713441475608e-12,MRRR (evr)
1500,ev,6.6361400999999205,3.160918517095789e-15,3.395992910713716e-13,Shifted QR (ev)
1500,evd,0.544445099999848,5.7524089600011055e-16,1.1976717478427844e-13,Divide & Conquer (evd)
1500,evr,0.5673687999997128,1.3958924762485162e-15,4.25019432450821e-12,MRRR (evr)
2000,ev,14.326498999999785,3.636197656356337e-15,4.4731237799044416e-13,Shifted QR (ev)
2000,evd,1.421363399999791,5.65544799142519e-16,1.4362115473963998e-13,Divide & Conquer (evd)
2000,evr,1.3345366999997168,9.156991518359367e-16,2.2903081493025526e-12,MRRR (evr)
