Matrix_Size,Driver,Runtime_sec,Avg_Residual,Orthogonality_Loss,Max_Theoretical_Error,Algorithm
50,ev,0.0015315000000555301,9.24120016290228e-16,1.41625228598231e-14,3.552713678800501e-14,Shifted QR (ev)
50,evd,0.0026361000000179047,6.581819558508765e-16,9.188083301800437e-15,3.552713678800501e-14,Divide & Conquer (evd)
50,evr,0.00032820000001265726,1.699849787891613e-15,1.0453759362077666e-13,7.815970093361102e-14,MRRR (evr)
100,ev,0.003689200000053461,1.3991414651202956e-15,2.43573370816953e-14,2.2737367544323206e-13,Shifted QR (ev)
100,evd,0.002913400000124966,6.701884300520107e-16,1.3558565163720901e-14,5.684341886080802e-14,Divide & Conquer (evd)
100,evr,0.0009121000000504864,1.7032952243781695e-15,2.359660483732349e-13,2.1316282072803006e-13,MRRR (evr)
250,ev,0.02833150000014939,2.1167620290290244e-15,6.000188972483445e-14,6.536993168992922e-13,Shifted QR (ev)
250,evd,0.00787739999987025,6.8092316707240835e-16,2.6199249688701878e-14,8.526512829121202e-14,Divide & Conquer (evd)
250,evr,0.009059900000011112,1.7805493721871585e-15,1.0292345601375438e-12,3.694822225952521e-13,MRRR (evr)
500,ev,0.1817442999999912,3.0185591975392912e-15,1.1528627903479172e-13,1.4210854715202004e-12,Shifted QR (ev)
500,evd,0.036036500000136584,7.498922969078191e-16,4.620816593841976e-14,1.7053025658242404e-13,Divide & Conquer (evd)
500,evr,0.04488569999989522,2.0907057959032745e-15,3.109073296118419e-12,5.115907697472721e-13,MRRR (evr)
1000,ev,1.9271931000000677,4.226257236880518e-15,2.314496454419801e-13,2.9558577807620168e-12,Shifted QR (ev)
1000,evd,0.16039260000002287,8.119227048692802e-16,8.258739543391033e-14,4.547473508864641e-13,Divide & Conquer (evd)
1000,evr,0.2002350000000206,2.258086359022263e-15,8.256318653746697e-12,1.0231815394945443e-12,MRRR (evr)
1500,ev,7.367319799999905,5.217161287554874e-15,3.4678405505548307e-13,7.048583938740194e-12,Shifted QR (ev)
1500,evd,0.6163380000000416,9.099449293743626e-16,1.1825725584430328e-13,6.821210263296962e-13,Divide & Conquer (evd)
1500,evr,0.5953558999999586,1.540367683073934e-15,6.098210931090643e-12,9.094947017729282e-13,MRRR (evr)
2000,ev,16.148242399999845,5.971829428438778e-15,4.594718069088572e-13,1.4097167877480388e-11,Shifted QR (ev)
2000,evd,1.256416199999876,8.730143779461616e-16,1.4966151930486798e-13,9.094947017729282e-13,Divide & Conquer (evd)
2000,evr,1.4812469000000874,1.4298015742236552e-15,5.3984696323647645e-12,9.094947017729282e-13,MRRR (evr)
