Matrix_Size,Driver,Runtime_sec,Avg_Residual,Orthogonality_Loss,Algorithm
50,ev,0.0016315999992002617,4.425640602082571e-16,1.3330435537838249e-14,Shifted QR (ev)
50,evd,0.006385399999999208,3.4399780219400354e-16,1.037501482467098e-14,Divide & Conquer (evd)
50,evr,0.00043399999958637636,4.862849673349702e-16,9.481254949563131e-14,MRRR (evr)
100,ev,0.005274800000734103,3.361626109584564e-16,2.4277441501537545e-14,Shifted QR (ev)
100,evd,0.0013939000000391388,1.856461072165803e-16,1.7629682749738564e-14,Divide & Conquer (evd)
100,evr,0.0029520999996748287,1.360088758871018e-16,4.824070166413221e-13,MRRR (evr)
250,ev,0.02495909999925061,4.806258352830364e-16,5.870926983739165e-14,Shifted QR (ev)
250,evd,0.00675039999987348,1.3937532683537765e-16,3.193078304895606e-14,Divide & Conquer (evd)
250,evr,0.011123999999654188,1.503717299222096e-16,4.399784682012146e-13,MRRR (evr)
500,ev,0.1647792000003392,7.85426498665496e-16,1.1349711574122921e-13,Shifted QR (ev)
500,evd,0.12520560000029946,1.8540388996241912e-16,5.204533695221679e-14,Divide & Conquer (evd)
500,evr,0.038724699999875156,1.9085309167286275e-16,7.601745420088993e-13,MRRR (evr)
1000,ev,1.3006040000000212,2.710787815822911e-16,2.0034810800896963e-13,Shifted QR (ev)
1000,evd,0.17120739999973011,1.427219387539854e-16,8.231942049777788e-14,Divide & Conquer (evd)
1000,evr,0.19601280000006227,1.5083664824077467e-16,2.704868088486318e-12,MRRR (evr)
1500,ev,4.458103199999641,2.2389212015591297e-16,2.867317745729601e-13,Shifted QR (ev)
1500,evd,0.8279718999992838,1.5906742499943765e-16,1.164569524203161e-13,Divide & Conquer (evd)
1500,evr,0.7108025999996244,1.5833607459442133e-16,3.7436691701860914e-12,MRRR (evr)
2000,ev,11.216703500000222,2.812888373747749e-16,3.743988618395022e-13,Shifted QR (ev)
2000,evd,1.8562590000001364,1.7422942160104562e-16,1.426649426358987e-13,Divide & Conquer (evd)
2000,evr,1.7440035999998145,1.883453301454934e-16,4.901814371787425e-12,MRRR (evr)
