Matrix_Size,Driver,Runtime_sec,Avg_Residual,Orthogonality_Loss,Algorithm
50,ev,0.0005222999989200616,2.1675139518714874e-16,1.272428684045051e-14,Shifted QR (ev)
50,evd,0.00042979999852832407,1.812587042042445e-16,9.928144611379203e-15,Divide & Conquer (evd)
50,evr,0.0004256000011082506,2.379555322401253e-16,2.005734945148765e-14,MRRR (evr)
100,ev,0.0018577000009827316,2.5936396545466143e-16,2.280707324558389e-14,Shifted QR (ev)
100,evd,0.0014658000000054017,2.0562351807740722e-16,1.879407172701436e-14,Divide & Conquer (evd)
100,evr,0.002228100000138511,2.184519577944318e-16,4.7820158113056e-14,MRRR (evr)
250,ev,0.13050119999934395,2.858698797315424e-16,5.769129559758668e-14,Shifted QR (ev)
250,evd,0.006919999999809079,1.7969115731790944e-16,3.289549699557349e-14,Divide & Conquer (evd)
250,evr,0.009011899999677553,1.9708997958498384e-16,1.9120552545585368e-13,MRRR (evr)
500,ev,0.14627459999974235,3.2967409878956595e-16,1.0987494841459266e-13,Shifted QR (ev)
500,evd,0.03883910000149626,1.7194544361373288e-16,5.4765487142760885e-14,Divide & Conquer (evd)
500,evr,0.05289459999949031,1.8553577855521008e-16,4.794623821730487e-13,MRRR (evr)
1000,ev,1.7735417999992933,4.004906917046981e-16,2.0968291814416744e-13,Shifted QR (ev)
1000,evd,0.17295610000110173,1.6951149779963288e-16,9.272606099292945e-14,Divide & Conquer (evd)
1000,evr,0.17687699999987672,1.8424688988862798e-16,1.4357532644780288e-12,MRRR (evr)
1500,ev,5.061686400000326,4.770543930534823e-16,3.1797657812055195e-13,Shifted QR (ev)
1500,evd,0.5598924999994779,1.7634980301038904e-16,1.2952871288643738e-13,Divide & Conquer (evd)
1500,evr,0.5684408999986772,1.8083220952812896e-16,1.98912870297049e-12,MRRR (evr)
2000,ev,12.137538299999505,5.201037675118073e-16,4.241763760961185e-13,Shifted QR (ev)
2000,evd,1.5451014000009309,1.7938183940701516e-16,1.6250790401082434e-13,Divide & Conquer (evd)
2000,evr,1.6803404000002047,1.8704993211927858e-16,2.7084717433438237e-12,MRRR (evr)
