Matrix_Size,Driver,Runtime_sec,Avg_Residual,Orthogonality_Loss,Algorithm
50,ev,0.0004445000013220124,4.602338530956388e-16,1.177263499794488e-14,Shifted QR (ev)
50,evd,0.00033489999987068586,2.2227894743186596e-16,7.0166229209380884e-15,Divide & Conquer (evd)
50,evr,0.0008254000003944384,5.593333340534174e-16,3.2122420751438537e-13,MRRR (evr)
100,ev,0.0016921000005822862,5.606797005558237e-16,2.3173022768651547e-14,Shifted QR (ev)
100,evd,0.001116100000217557,1.6694830920736761e-16,1.2343880706679017e-14,Divide & Conquer (evd)
100,evr,0.003990400000475347,5.411549934670756e-16,2.2603073696542058e-14,MRRR (evr)
250,ev,0.020668400000431575,5.34763604852902e-16,5.856569067075731e-14,Shifted QR (ev)
250,evd,0.005682499999238644,1.9331725250643304e-16,1.625539496362848e-14,Divide & Conquer (evd)
250,evr,0.029247899999973015,5.214457389425554e-16,1.2429897326648227e-13,MRRR (evr)
500,ev,0.15688330000011774,6.387042447175209e-16,1.0817605059579543e-13,Shifted QR (ev)
500,evd,0.025586700001440477,1.720681377126977e-16,2.3187377194474174e-14,Divide & Conquer (evd)
500,evr,0.12607079999907,5.026732907791358e-16,1.2080029795335147e-13,MRRR (evr)
1000,ev,1.3935105000000476,7.143414830188162e-16,2.0109673902977452e-13,Shifted QR (ev)
1000,evd,0.16955980000057025,1.2685776581323e-16,3.0620047425561325e-14,Divide & Conquer (evd)
1000,evr,0.5025610000011511,5.075217581358945e-16,3.2559403806258565e-13,MRRR (evr)
1500,ev,5.477383100000225,9.348486709725511e-16,2.8717064357725627e-13,Shifted QR (ev)
1500,evd,0.9672965999998269,1.520854530132783e-16,4.376017799704894e-14,Divide & Conquer (evd)
1500,evr,1.5257818999998563,5.114266082464543e-16,6.579187340601219e-13,MRRR (evr)
2000,ev,10.10564929999964,9.601673517125177e-16,3.733154598264643e-13,Shifted QR (ev)
2000,evd,1.6847429999997985,1.4867188995104833e-16,4.5511888294921185e-14,Divide & Conquer (evd)
2000,evr,2.997799999999188,5.124334957085313e-16,8.9223532208618e-13,MRRR (evr)
