Solver Algorithm,Matrix Size,Execution Runtime (s),Average Residual Norm,Orthogonal Loss
Divide & Conquer (evd),1000x1000,0.3101,6.25e-17,7.69e-14
MRRR (evr),1000x1000,0.1777,5.70e-17,2.02e-12
Shifted QR (ev),1000x1000,0.9436,1.24e-16,1.82e-13
Divide & Conquer (evd),100x100,0.0125,1.80e-16,1.88e-14
MRRR (evr),100x100,0.0417,1.96e-16,1.78e-13
Shifted QR (ev),100x100,0.0632,2.22e-16,2.33e-14
Divide & Conquer (evd),250x250,0.1397,1.13e-16,3.22e-14
MRRR (evr),250x250,0.0837,1.00e-16,3.86e-13
Shifted QR (ev),250x250,0.0401,1.65e-16,5.49e-14
Divide & Conquer (evd),500x500,0.0322,8.99e-17,5.19e-14
MRRR (evr),500x500,0.0392,7.70e-17,9.02e-13
Shifted QR (ev),500x500,0.1397,1.54e-16,1.09e-13
